ProteinIdx,MoleculeIdx,Ki
0,0,8.1
0,1,8.1
0,2,8.2
0,3,8.4
0,4,5.8
0,6,5.8
0,8,4.9
0,9,7.4
0,12,8.3
0,17,7.8
0,18,7.3
0,19,6.0
0,21,6.7
0,22,5.3
0,24,6.4
0,25,6.1
0,26,7.8
0,27,7.5
0,28,7.5
0,29,7.8
0,30,7.7
0,31,7.4
0,32,7.0
0,33,7.8
0,34,7.5
0,35,7.3
0,36,7.8
0,37,7.4
0,38,7.6
0,39,7.3
0,41,7.8
0,42,7.8
0,43,8.4
0,44,8.0
0,61,6.7
0,63,6.8
0,64,6.1
0,67,6.6
0,69,5.7
0,71,5.8
0,78,5.5
0,82,5.2
0,83,5.2
0,84,5.4
0,87,5.5
0,88,5.5
0,92,6.1
0,93,5.1
0,94,5.2
0,101,6.0
0,102,5.8
0,103,5.8
0,109,5.7
0,110,6.4
0,111,5.5
0,128,5.7
0,129,5.7
0,136,5.2
0,139,5.7
0,141,6.1
0,144,5.2
0,145,5.7
0,147,5.7
0,151,5.2
0,152,6.1
0,153,6.0
0,154,6.4
0,155,5.1
0,156,5.8
0,157,5.2
0,162,5.9
0,167,6.5
0,199,6.3
0,200,6.6
0,210,5.1
0,218,5.1
0,236,7.8
0,237,4.8
0,238,5.3
0,242,6.0
0,243,5.5
0,246,5.8
0,253,6.0
0,256,9.1
0,258,7.0
0,259,6.5
0,260,6.6
0,263,8.0
0,266,5.6
0,267,5.9
0,268,6.9
0,269,7.3
0,272,8.3
0,275,6.8
0,276,7.0
0,277,8.5
0,278,6.3
0,279,8.6
0,281,5.5
0,294,7.9
0,296,6.5
0,297,7.2
0,298,6.0
0,299,6.9
0,301,7.9
0,302,7.1
0,303,8.0
0,305,6.9
0,306,7.8
0,309,6.2
0,310,5.5
0,312,6.5
0,313,6.7
0,314,7.5
0,319,6.6
0,320,6.9
0,321,6.2
0,325,7.4
0,326,7.1
0,332,7.0
0,334,6.6
0,336,7.1
0,339,5.4
0,340,5.2
0,347,5.8
0,352,5.4
0,356,6.6
0,382,6.6
0,383,7.8
0,384,6.8
0,386,7.5
0,387,6.4
0,389,7.6
0,390,6.4
0,392,6.3
0,393,7.7
0,395,6.2
0,403,8.0
0,405,6.7
0,407,5.5
0,423,7.5
0,424,6.3
0,425,5.5
0,426,5.8
0,427,5.7
0,428,5.5
0,430,6.1
0,433,6.7
0,435,8.3
0,443,7.7
0,444,6.1
0,447,5.4
0,450,6.3
0,451,5.3
0,459,6.4
0,462,6.3
0,463,5.8
0,464,6.1
0,465,5.9
