MoleculeIdx,SMILES
0,O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
1,N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
2,NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23
3,Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34
4,Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F
5,NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2
6,Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
7,Clc1cc(nc(NC2CCCCC2)n1)c3c[nH]c4ncccc34
8,c1ccc(cc1)c2ccnc3[nH]ccc23
9,CN(C)C1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
10,C(Nc1cc(ncn1)c2c[nH]c3ncccc23)c4ccccc4
11,NC1CCCCC1Nc2nccc(n2)c3c[nH]c4ncccc34
12,N[C@@H]1CC[C@H](CC1)Nc2nccc(n2)c3c[nH]c4ncccc34
13,Clc1cc(NC2CCCCC2)nc(n1)c3c[nH]c4ncccc34
14,C1CCC(CC1)Nc2nccc(n2)c3c[nH]c4ncccc34
15,OC[C@@H](NC(=O)N1CCC(=CC1)c2c[nH]c3ncccc23)c4ccccc4
16,CC(C)(C)Nc1ncnc2[nH]cc(c3ccccc3)c12
17,Nc1nc(Cl)cc(n1)c2c[nH]c3ncccc23
18,OCC(CO)Nc1ncnc2[nH]cc(c3ccccc3)c12
19,COc1cccc(c1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
20,COc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
21,OCCCNc1ncnc2[nH]cc(c3ccccc3)c12
22,Clc1ccc(cc1)C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2
23,OC1CCN(CC1)c2ncnc3[nH]cc(c4ccccc4)c23
24,Brc1cnc2[nH]cc(c3ccccc3)c2c1
25,O[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
26,NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
27,CC(C)(CN)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
28,CC(C)(CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23)CNS(=O)(=O)C
29,Clc1cc(nc(NC2CCOCC2)n1)c3c[nH]c4ncccc34
30,NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
31,CS(=O)(=O)NCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
32,CN(C)C1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
33,CS(=O)(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
34,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
35,CC(C)(CN)CNc1nc(Cl)cc(n1)c2c[nH]c3ncccc23
36,CNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
37,CC(C)CN[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
38,CC(C)(CN)CNc1cc(cc(F)n1)c2c[nH]c3ncccc23
39,CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
40,CNCC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
41,CCNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
42,COc1ccc(CNc2cc(cc(F)n2)c3c[nH]c4ncccc34)cc1
43,Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
44,CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
45,CN(Cc1ccccc1)c2cc(cc(Cl)n2)c3c[nH]c4ncccc34
46,C(Nc1nccc(n1)c2c[nH]c3ncccc23)C4CCCCC4
47,FC(F)(F)c1ccccc1CNc2nccc(n2)c3c[nH]c4ncccc34
48,NC1CCCCC1Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
49,Clc1cc(ncn1)c2c[nH]c3ncccc23
50,NC(=O)c1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1
51,Fc1cccc(c1)c2c[nH]c3ncccc23
52,Clc1cc(cc(NCC=C)n1)c2c[nH]c3ncccc23
53,CC(C)(Nc1nccc(n1)c2c[nH]c3ncccc23)c4ccccc4
54,CCCCNc1cc(ncn1)c2c[nH]c3ncccc23
55,Cc1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1
56,FC(F)(F)c1cccc(CNc2cc(ncn2)c3c[nH]c4ncccc34)c1
57,COCCN(CCOC)c1cc(cc(Cl)n1)c2c[nH]c3ncccc23
58,CC(C)(O)CNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
59,COCC(C)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
60,Cc1cccc(CNc2cc(cc(Cl)n2)c3c[nH]c4ncccc34)c1C
61,CCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
62,Fc1cccc(F)c1C(=O)Nc2cc(cc(Cl)n2)c3c[nH]c4ncccc34
63,CN(C)CC(=O)NC1CCCC(C1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34
64,OC1CCCC(C1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
65,OCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
66,OCCCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
67,N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
68,COCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
69,CS(=O)(=O)N[C@@H]1CC[C@H](CC1)Nc2cc(Cl)nc(n2)c3c[nH]c4ncccc34
70,CC(C)(CO)CCCNc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
71,CCCCC(=O)Nc1cc(cc(Cl)n1)c2c[nH]c3ncccc23
72,Clc1cc(cc(NC(=O)c2ccccc2)n1)c3c[nH]c4ncccc34
73,NC(=O)c1ccccc1c2ncc[nH]2
74,OCCc1ccc(Nc2ncnc3[nH]cc(c4ccccc4)c23)cc1
75,NC(=O)c1ccc(cc1)c2c[nH]c3nc(N)nc(NCc4c(F)cccc4F)c23
76,CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
77,Nc1c(cnc2c(cnn12)c3ccc4OCOc4c3)c5ccc(NC(=O)Nc6cccc(c6)C(F)(F)F)cc5
78,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCCCCCCCCN)c1
79,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13
80,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1
81,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
82,Cc1cccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)c1
83,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1
84,Nc1ncnc2scc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12
85,Cc1cc(C)cc(NC(=O)Nc2ccc(c(C)c2)c3cccc4C(=O)NCc34)c1
86,Nc1ncc(c2ccncc2)c3scc(c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)c13
87,CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
88,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1
89,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3coc4c(cnc(N)c34)C#CCN5CCOCC5)c1
90,CC(C(=O)N(C)C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4
91,Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12
92,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13
93,Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13
94,Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
95,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cnc4c(cnn4c3N)c5cnn(C)c5)c1
96,Cn1cc(cn1)c2cnn3c(N)c(cnc23)c4ccc(NC(=O)Nc5cccc(c5)C(F)(F)F)cc4
97,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1
98,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(C)(C)O)c5)cc1
99,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4
100,CNC(=O)C(C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4
101,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1
102,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ccnc(N)c34)c1
103,Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)cc1C
104,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#Cc5cccnc5)c1
105,Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1
106,Cc1cccc(NC(=O)Nc2ccc(cc2)c3cncc4[nH]nc(N)c34)c1
107,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1
108,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)c1
109,CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
110,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1
111,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCNS(=O)(=O)C)c1
112,Cn1nc(N)c2c(cncc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3
113,Nc1n[nH]c2nccc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12
114,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCOCC5)c1
115,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1
116,CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3
117,CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3
118,Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3
119,Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4ccc(F)c(c4)C(F)(F)F)cc3
120,Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)c1
121,Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
122,CCCn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
123,COC(=O)c1c(C)n2ncnc(N)c2c1c3ccc(NC(=O)Nc4ccccc4)cc3
124,CCOc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1
125,COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CCO)c5)cc1
126,CCN(CC)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
127,CCN(CC)CCNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3
128,Cc1cc2cc(ccc2[nH]1)c3csc4c(cnc(N)c34)c5cccc(c5)S(=O)(=O)C
129,C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4
130,Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)c13
131,CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3
